包头,x,y,z,状态,休息,采食,活动,爬跨,反刍,其他,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-58,192,-312,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-58,182,-308,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-119,176,-309,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-45,168,-298,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-39,171,-288,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-41,172,-296,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-41,180,-305,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-37,182,-311,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-32,188,-314,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-28,192,-328,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
0,-31,192,-329,250,0,0,2,0,141,0,5,5,5,5,5,5,5,5,5,1,1,6,5,5,5,5,5,5
